gujarati,hindi,english,level,audio
અ,अ,a,1,a
આ,आ,aa,1,aa
ઇ,इ,i,1,i
ઈ,ई,ii,1,ee
ઉ,उ,u,1,u
ઊ,ऊ,uu,1,oo
એ,ए,e,1,e
ઐ,ऐ,ai,1,ai
ઓ,ओ,o,1,o
ઔ,औ,au,1,au
ક,क,ka,2,1
ખ,ख,kha,2,2
ગ,ग,ga,2,3
ઘ,घ,gha,2,4
દ,द,da,2,16
ધ,ध,dha,2,17
ચ,च,cha,3,5
છ,छ,Cha,3,6
જ,ज,ja,3,7
ઝ,झ,jha,3,8
ણ,ण,Na,3,13
ન,न,na,3,18
પ,प,pa,4,19
ફ,फ,fa,4,20
બ,ब,ba,4,21
ભ,भ,bha,4,22
મ,म,ma,4,23
ય,य,ya,4,24
ર,र,ra,5,25
લ,ल,la,5,26
વ,व,va,5,27
શ,श,sha,5,28
ષ,ष,Sha,5,30
સ,स,sa,5,29
ત,त,ta,6,14
થ,थ,tha,6,15
હ,ह,ha,6,31
ળ,ळ,La,6,32
ટ,ट,Ta,7,9
ઠ,ठ,Tha,7,10
ડ,ड,Da,7,11
ઢ,ढ,Dha,7,12
ઙ,ङ,ṅa,8,
ઞ,ञ,ña,8,
ક્ષ,क्ष,ksha,6,33
જ્ઞ,ज्ञ,gna,7,34
૧,,1,9,ek
૨,,2,9,be
૩,,3,9,tran
૪,,4,9,chaar
૫,,5,9,paanch
૬,,6,9,chha
૭,,7,9,saat
૮,,8,9,aanth
૯,,9,9,nav
૧૦,,10,9,das
ક​,,ka,10,b.ka
કા,,kaa,10,b.kaa
કિ,,ki,10,b.ki
કી,,kii,10,b.kii
કે,,ke,10,b.ke
કૈ,,kai,10,b.kai
કો,,ko,10,b.ko
કુ,,ku,10,b.ku
કૂ,,kuu,10,b.kuu
કૌ,,kau,10,b.kau